state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Washington,M,Master,265438.1,73196.0,66.0,1.0,Personal Auto,Four-Door Car,85.809817
Washington,M,Bachelor,254978.61,72217.0,6464.0,0.0,Personal Auto,Four-Door Car,91.146661
California,M,High School or Below,296959.33,46131.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
Oregon,F,Master,436312.46,54514.0,109.0,3.0,Personal Auto,SUV,286.234931
Nevada,F,College,527219.16,96668.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
California,M,Doctor,550989.57,78879.0,69.0,1.0,Personal Auto,Four-Door Car,466.570791
Oregon,M,Bachelor,245357.08,29735.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
California,M,High School or Below,507566.27,23082.0,65.0,0.0,Special Auto,Four-Door Car,312.0
Arizona,M,Bachelor,321497.94,53984.0,80.0,0.0,Corporate Auto,Four-Door Car,421.484456
California,F,College,1227534.31,52135.0,156.0,0.0,Personal Auto,SUV,430.505942
California,F,College,272221.07,17576.0,71.0,0.0,Corporate Auto,Four-Door Car,398.502948
Oregon,F,Bachelor,245744.09,29486.0,62.0,0.0,Personal Auto,Four-Door Car,7.646763
Oregon,F,Master,355484.53,58557.0,88.0,0.0,Corporate Auto,Four-Door Car,55.510526
California,M,Bachelor,492954.97,25632.0,63.0,0.0,Personal Auto,Two-Door Car,351.270869
Arizona,M,Bachelor,427691.53,18768.0,68.0,3.0,Corporate Auto,Four-Door Car,647.454583
California,F,Bachelor,3347334.95,33190.0,106.0,0.0,Personal Auto,SUV,508.8
Oregon,F,Master,596058.14,47945.0,74.0,0.0,Personal Auto,Two-Door Car,128.43823
Arizona,M,College,4479546.94,58778.0,126.0,0.0,Special Auto,SUV,302.033971
California,F,High School or Below,383211.81,15192.0,100.0,0.0,Personal Auto,SUV,480.0
California,F,Bachelor,683793.26,51859.0,171.0,0.0,Personal Auto,SUV,1003.160633
Nevada,F,High School or Below,528526.82,23422.0,72.0,0.0,Personal Auto,Two-Door Car,518.4
California,F,College,309651.12,21604.0,79.0,0.0,Corporate Auto,Four-Door Car,379.2
Arizona,M,College,358971.07,79298.0,90.0,0.0,Personal Auto,Four-Door Car,244.362072
Arizona,F,Bachelor,258240.85,76731.0,64.0,0.0,Special Auto,Four-Door Car,201.455005
Washington,M,College,340391.94,38460.0,88.0,1.0,Personal Auto,Four-Door Car,91.55098
Arizona,F,College,1357567.6,48534.0,115.0,1.0,Personal Auto,SUV,552.0
Washington,M,Doctor,343613.43,30817.0,88.0,0.0,Corporate Auto,Four-Door Car,91.834668
Oregon,F,College,2868582.79,48412.0,104.0,0.0,Personal Auto,SUV,707.430832
Washington,M,Bachelor,450267.97,68798.0,114.0,0.0,Personal Auto,SUV,92.915251
Oregon,M,Bachelor,618311.15,23712.0,85.0,0.0,Personal Auto,Four-Door Car,376.126419
California,M,College,387364.7,28142.0,105.0,0.0,Personal Auto,Luxury,701.708239
California,F,Master,1892933.06,72196.0,68.0,0.0,Personal Auto,Four-Door Car,152.184244
California,M,Master,555329.58,68197.0,69.0,0.0,Personal Auto,Four-Door Car,176.819414
California,M,Bachelor,501125.92,75248.0,63.0,0.0,Corporate Auto,Four-Door Car,104.454624
Washington,F,Master,512317.09,89879.0,63.0,0.0,Personal Auto,Two-Door Car,94.030308
Oregon,M,High School or Below,748431.05,46998.0,96.0,0.0,Corporate Auto,Four-Door Car,460.8
Oregon,M,Bachelor,261302.31,57099.0,67.0,0.0,Personal Auto,Two-Door Car,67.859881
Arizona,F,Bachelor,908063.97,33897.0,114.0,0.0,Corporate Auto,SUV,539.843003
Nevada,F,High School or Below,1377097.62,59207.0,116.0,0.0,Personal Auto,Four-Door Car,556.8
Oregon,M,High School or Below,287682.29,40171.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
Washington,M,Doctor,540891.15,80192.0,67.0,0.0,Personal Auto,Four-Door Car,95.193157
Washington,M,High School or Below,677030.68,74422.0,85.0,1.0,Personal Auto,Four-Door Car,95.338505
Oregon,M,College,2414387.56,0.0,87.0,0.0,Special Auto,Four-Door Car,626.4
Nevada,F,Bachelor,2909123.94,34226.0,244.0,0.0,Personal Auto,Luxury,494.395024
California,F,High School or Below,1983420.12,65989.0,123.0,1.0,Personal Auto,SUV,115.545086
Oregon,M,High School or Below,473136.7,30686.0,61.0,0.0,Corporate Auto,Four-Door Car,19.938981
Arizona,F,High School or Below,3461137.9,20090.0,109.0,0.0,Personal Auto,Luxury,523.2
Oregon,M,College,1397651.93,77094.0,176.0,0.0,Personal Auto,SUV,444.470676
California,F,College,590408.82,97413.0,73.0,0.0,Personal Auto,Four-Door Car,268.819985
Oregon,F,Master,559583.5,79189.0,69.0,0.0,Corporate Auto,Four-Door Car,331.2
Arizona,F,College,627391.19,18577.0,86.0,0.0,Personal Auto,Four-Door Car,412.8
Oregon,F,College,372672.8,0.0,112.0,1.0,Special Auto,Luxury,806.4
Washington,M,High School or Below,265671.31,62777.0,67.0,0.0,Personal Auto,Two-Door Car,101.288069
Nevada,M,College,712659.65,17483.0,183.0,0.0,Personal Auto,Luxury,1317.6
Oregon,M,Master,460163.41,84394.0,114.0,0.0,Personal Auto,SUV,691.412378
Oregon,F,College,1480805.62,41440.0,62.0,1.0,Personal Auto,Four-Door Car,297.6
Oregon,F,College,573459.82,98132.0,71.0,0.0,Personal Auto,Two-Door Car,50.587035
California,M,Bachelor,2777628.91,88220.0,230.0,0.0,Personal Auto,Luxury,151.528482
Arizona,F,Master,1036434.75,58327.0,129.0,0.0,Personal Auto,SUV,347.075948
Oregon,M,Master,785190.14,25950.0,66.0,0.0,Personal Auto,Two-Door Car,271.697529
Oregon,M,High School or Below,477294.38,20993.0,133.0,0.0,Corporate Auto,SUV,638.4
Oregon,M,High School or Below,1422650.49,65726.0,177.0,0.0,Corporate Auto,SUV,849.6
Washington,M,Bachelor,287543.24,84768.0,72.0,0.0,Personal Auto,Two-Door Car,110.484661
Washington,F,Bachelor,504129.96,36234.0,63.0,0.0,Personal Auto,Four-Door Car,113.534474
California,M,College,436293.12,58842.0,110.0,0.0,Personal Auto,Four-Door Car,528.0
Oregon,F,Master,962452.44,25629.0,124.0,2.0,Corporate Auto,Luxury,595.2
Washington,F,College,2191440.55,77311.0,181.0,0.0,Personal Auto,SUV,113.609508
Washington,M,High School or Below,247152.84,95697.0,61.0,0.0,Personal Auto,Two-Door Car,114.273025
Oregon,F,Bachelor,2190391.36,22254.0,79.0,0.0,Personal Auto,Four-Door Car,125.194389
Nevada,M,High School or Below,902882.14,65974.0,113.0,0.0,Personal Auto,Luxury,235.220971
Washington,M,High School or Below,2070825.88,92079.0,65.0,1.0,Corporate Auto,Four-Door Car,114.798771
Arizona,F,College,987729.57,67752.0,131.0,4.0,Personal Auto,Luxury,168.517149
California,F,Bachelor,481500.97,25398.0,64.0,0.0,Corporate Auto,Four-Door Car,307.2
California,M,High School or Below,826063.98,33321.0,105.0,0.0,Special Auto,SUV,504.0
Washington,F,College,1131808.98,38923.0,99.0,2.0,Personal Auto,Four-Door Car,115.728852
Oregon,F,Bachelor,380392.18,20325.0,100.0,0.0,Personal Auto,Luxury,668.29397
Oregon,M,Bachelor,863540.35,13129.0,117.0,0.0,Personal Auto,SUV,700.901632
Nevada,M,Master,358588.41,49080.0,91.0,0.0,Corporate Auto,Four-Door Car,25.299
Nevada,M,College,488925.28,42536.0,63.0,0.0,Personal Auto,Four-Door Car,375.330097
Oregon,M,Bachelor,275694.17,29926.0,74.0,0.0,Corporate Auto,Four-Door Car,418.233667
California,F,Bachelor,1093717.85,21450.0,138.0,0.0,Personal Auto,Luxury,938.513425
California,M,High School or Below,737556.79,33345.0,65.0,0.0,Corporate Auto,Four-Door Car,338.619869
California,F,Bachelor,1011077.82,15752.0,90.0,0.0,Corporate Auto,Two-Door Car,339.344531
Oregon,F,High School or Below,511941.43,40169.0,65.0,1.0,Personal Auto,Four-Door Car,302.818833
California,F,College,853383.2,26049.0,113.0,1.0,Personal Auto,SUV,619.165344
Arizona,M,Doctor,804280.38,55411.0,100.0,0.0,Personal Auto,Luxury,259.561195
Oregon,M,College,255443.71,12459.0,70.0,0.0,Personal Auto,Four-Door Car,336.0
Oregon,M,Bachelor,1807394.0,64620.0,76.0,1.0,Personal Auto,Two-Door Car,364.8
California,M,Bachelor,243050.66,83140.0,61.0,0.0,Corporate Auto,Four-Door Car,179.161843
Arizona,F,Bachelor,546560.4,54422.0,68.0,0.0,Corporate Auto,Four-Door Car,75.501852
California,M,College,1035751.42,68309.0,131.0,0.0,Corporate Auto,SUV,306.983596
California,M,High School or Below,253781.39,56621.0,65.0,2.0,Personal Auto,Four-Door Car,84.026848
Arizona,F,College,282194.72,38977.0,70.0,0.0,Special Auto,Four-Door Car,139.489926
Arizona,M,Bachelor,775712.81,0.0,111.0,0.0,Corporate Auto,Two-Door Car,607.4459
Oregon,F,Bachelor,1415861.36,83235.0,70.0,0.0,Personal Auto,Two-Door Car,336.0
Arizona,M,College,628547.69,32390.0,80.0,0.0,Personal Auto,Four-Door Car,91.417923
Oregon,F,High School or Below,1147348.15,66538.0,95.0,0.0,Personal Auto,Two-Door Car,317.844812
Washington,F,College,494263.06,23285.0,65.0,0.0,Personal Auto,Two-Door Car,118.446235
Oregon,M,Bachelor,2359468.02,76358.0,66.0,0.0,Personal Auto,Four-Door Car,86.461582
Washington,M,Master,257250.66,21104.0,66.0,0.0,Personal Auto,Four-Door Car,118.454974
Arizona,F,College,538089.86,55350.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
California,F,College,477055.09,12964.0,65.0,0.0,Personal Auto,Two-Door Car,362.774545
Arizona,F,Master,675665.14,33288.0,86.0,2.0,Personal Auto,Four-Door Car,221.856184
Arizona,F,Bachelor,357076.05,56168.0,88.0,0.0,Personal Auto,Four-Door Car,614.675906
Oregon,M,High School or Below,542686.4,23105.0,69.0,0.0,Personal Auto,Two-Door Car,331.2
Oregon,F,Master,273031.38,36218.0,68.0,0.0,Personal Auto,Four-Door Car,145.252168
California,F,High School or Below,498268.14,52275.0,62.0,0.0,Corporate Auto,Four-Door Car,374.240783
Oregon,F,College,876926.68,49665.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
Nevada,M,High School or Below,422061.35,32471.0,110.0,0.0,Personal Auto,Two-Door Car,528.0
California,F,Master,588718.2,62773.0,73.0,0.0,Personal Auto,Four-Door Car,80.669257
California,F,College,470058.38,76694.0,117.0,0.0,Personal Auto,SUV,561.6
Oregon,M,High School or Below,1096395.72,55687.0,276.0,0.0,Personal Auto,Luxury,1324.8
Nevada,M,Doctor,375780.47,36633.0,96.0,1.0,Personal Auto,Four-Door Car,460.8
Oregon,M,High School or Below,1294173.35,77060.0,106.0,0.0,Personal Auto,SUV,468.566133
Nevada,F,Bachelor,376446.51,92600.0,94.0,0.0,Corporate Auto,Two-Door Car,842.43785
Nevada,M,College,362345.42,0.0,111.0,2.0,Corporate Auto,SUV,1171.93117
Arizona,M,College,758211.38,64801.0,64.0,0.0,Personal Auto,Four-Door Car,268.471802
Oregon,F,College,827774.56,45257.0,103.0,0.0,Corporate Auto,Two-Door Car,494.4
California,M,High School or Below,257645.56,26854.0,66.0,0.0,Personal Auto,Four-Door Car,475.2
Oregon,F,College,820538.79,85840.0,102.0,2.0,Corporate Auto,SUV,138.722385
Oregon,F,Doctor,1958246.89,26463.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
Nevada,F,Bachelor,648152.66,30689.0,81.0,0.0,Personal Auto,Four-Door Car,467.24802
Oregon,M,High School or Below,259931.09,29590.0,66.0,0.0,Corporate Auto,Two-Door Car,467.503236
Oregon,F,College,983033.76,25965.0,253.0,0.0,Personal Auto,Luxury,1214.4
Oregon,M,Bachelor,1044265.14,17269.0,139.0,0.0,Personal Auto,SUV,667.2
Oregon,M,College,3605753.7,90330.0,137.0,3.0,Corporate Auto,Luxury,192.085299
Arizona,F,Bachelor,308799.99,18558.0,80.0,0.0,Special Auto,Four-Door Car,384.0
Arizona,M,Bachelor,444373.62,46384.0,113.0,0.0,Corporate Auto,Four-Door Car,251.774574
Oregon,F,College,718097.1,42303.0,180.0,0.0,Personal Auto,Luxury,1210.920949
California,F,Bachelor,1565603.43,71731.0,130.0,0.0,Corporate Auto,SUV,599.648466
Oregon,M,High School or Below,578018.22,51066.0,74.0,0.0,Corporate Auto,Four-Door Car,787.993313
California,M,College,2071494.04,0.0,203.0,0.0,Corporate Auto,Luxury,2027.724442
Arizona,F,High School or Below,511662.4,26173.0,68.0,1.0,Corporate Auto,Four-Door Car,449.819671
Oregon,M,Bachelor,726873.7,24445.0,63.0,0.0,Personal Auto,Two-Door Car,302.4
Oregon,M,College,261661.39,72302.0,66.0,0.0,Personal Auto,Two-Door Car,316.8
Oregon,M,High School or Below,373843.62,27208.0,102.0,0.0,Personal Auto,SUV,489.6
California,F,Master,272535.64,36650.0,69.0,1.0,Special Auto,Four-Door Car,56.60333
Arizona,M,College,545386.12,30855.0,68.0,0.0,Corporate Auto,Four-Door Car,259.060862
Oregon,M,Master,617291.42,99960.0,76.0,0.0,Corporate Auto,Four-Door Car,364.8
Nevada,F,Bachelor,699700.86,55873.0,88.0,0.0,Personal Auto,Four-Door Car,299.356083
Arizona,F,High School or Below,419625.77,18052.0,111.0,0.0,Personal Auto,Four-Door Car,699.1679
Oregon,F,High School or Below,785810.98,28937.0,104.0,2.0,Personal Auto,SUV,117.959654
Oregon,M,Doctor,897064.73,12829.0,118.0,0.0,Personal Auto,SUV,328.231432
Oregon,F,Master,592311.72,92163.0,73.0,0.0,Personal Auto,Two-Door Car,66.568642
Oregon,M,High School or Below,3585059.94,17588.0,192.0,0.0,Personal Auto,Luxury,1382.4
Washington,F,Bachelor,870984.53,41546.0,111.0,0.0,Corporate Auto,Four-Door Car,121.306839
California,M,High School or Below,452850.49,70340.0,113.0,0.0,Special Auto,Four-Door Car,542.4
Washington,M,High School or Below,443441.12,34549.0,111.0,0.0,Personal Auto,Four-Door Car,125.933005
Arizona,M,College,799600.75,93459.0,99.0,0.0,Personal Auto,Four-Door Car,655.41333
Arizona,M,Bachelor,512973.9,86148.0,65.0,2.0,Personal Auto,Four-Door Car,312.0
California,F,Bachelor,569717.52,27048.0,72.0,0.0,Corporate Auto,Four-Door Car,345.6
Oregon,F,College,921713.06,73259.0,115.0,0.0,Personal Auto,SUV,673.34265
Oregon,F,College,1020892.76,35482.0,129.0,0.0,Corporate Auto,SUV,619.2
Oregon,F,Master,417068.73,29462.0,107.0,1.0,Personal Auto,SUV,513.6
Oregon,F,College,450540.58,67801.0,115.0,1.0,Personal Auto,SUV,23.810491
Arizona,M,High School or Below,552866.5,16042.0,73.0,0.0,Personal Auto,Two-Door Car,350.4
California,M,High School or Below,504586.67,28056.0,64.0,1.0,Personal Auto,Four-Door Car,307.2
California,M,High School or Below,296272.25,16495.0,85.0,3.0,Corporate Auto,Four-Door Car,408.0
California,F,Master,866595.64,41163.0,108.0,0.0,Corporate Auto,SUV,231.922173
California,M,Bachelor,1548843.2,33799.0,109.0,3.0,Corporate Auto,SUV,664.980242
Washington,F,College,886114.95,90125.0,110.0,0.0,Corporate Auto,SUV,128.645946
Oregon,F,Bachelor,593474.15,87747.0,147.0,1.0,Personal Auto,SUV,46.492039
Nevada,M,College,354323.21,35695.0,90.0,0.0,Personal Auto,Four-Door Car,432.0
California,M,Master,349002.83,90985.0,87.0,0.0,Personal Auto,Four-Door Car,78.085149
California,M,College,598977.39,66839.0,154.0,0.0,Personal Auto,Luxury,739.2
Oregon,F,Bachelor,860915.82,79090.0,107.0,0.0,Corporate Auto,SUV,289.040734
Oregon,M,Bachelor,249745.51,24825.0,64.0,0.0,Personal Auto,Two-Door Car,155.938593
California,M,College,701917.72,26806.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
Oregon,F,College,538792.63,56835.0,67.0,0.0,Personal Auto,Two-Door Car,326.549425
Oregon,F,Bachelor,616555.75,0.0,88.0,0.0,Special Auto,Two-Door Car,653.65668
California,M,Bachelor,273020.29,46135.0,69.0,0.0,Personal Auto,Four-Door Car,103.935601
Oregon,F,High School or Below,793706.48,22862.0,67.0,0.0,Personal Auto,Two-Door Car,321.6
Oregon,F,High School or Below,860815.72,21450.0,110.0,2.0,Personal Auto,Luxury,528.0
Oregon,M,Bachelor,263254.58,95854.0,65.0,0.0,Personal Auto,Two-Door Car,312.0
Oregon,F,Bachelor,778500.42,44897.0,99.0,1.0,Personal Auto,Four-Door Car,580.72531
Washington,M,High School or Below,2163983.86,64455.0,108.0,0.0,Personal Auto,SUV,133.735395
Oregon,F,Master,498082.5,53265.0,62.0,0.0,Personal Auto,Four-Door Car,238.005074
Washington,M,Master,1064093.93,50450.0,90.0,0.0,Personal Auto,Two-Door Car,135.892444
California,F,High School or Below,686250.83,54780.0,88.0,3.0,Personal Auto,Four-Door Car,135.26125
Nevada,M,High School or Below,904898.34,0.0,119.0,0.0,Personal Auto,Luxury,571.2
California,M,Bachelor,554803.19,67798.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
Oregon,M,Bachelor,831268.16,21442.0,118.0,0.0,Personal Auto,SUV,566.4
California,M,Bachelor,238998.1,27615.0,62.0,1.0,Personal Auto,Four-Door Car,297.6
California,M,Bachelor,445811.34,17622.0,65.0,1.0,Personal Auto,Four-Door Car,312.0
Nevada,M,High School or Below,529574.17,50200.0,135.0,0.0,Personal Auto,Luxury,637.063458
California,F,Master,277890.37,73570.0,70.0,1.0,Special Auto,Two-Door Car,75.936096
Washington,M,Doctor,493094.93,70412.0,61.0,0.0,Corporate Auto,Two-Door Car,136.291083
Nevada,M,Doctor,249131.7,36631.0,62.0,0.0,Personal Auto,Four-Door Car,67.530904
Oregon,F,College,290887.59,35895.0,73.0,0.0,Personal Auto,Four-Door Car,312.921256
Arizona,F,College,428294.8,40864.0,109.0,1.0,Personal Auto,SUV,166.937747
Arizona,F,Master,509078.13,93018.0,63.0,0.0,Personal Auto,Four-Door Car,135.382194
Oregon,M,Bachelor,736618.83,70014.0,62.0,0.0,Corporate Auto,Four-Door Car,17.742954
Oregon,F,College,243687.51,48875.0,61.0,0.0,Personal Auto,Two-Door Car,1.838367
California,M,Bachelor,885268.87,67969.0,74.0,0.0,Personal Auto,Four-Door Car,197.776009
Oregon,F,High School or Below,2387547.68,0.0,108.0,0.0,Corporate Auto,SUV,612.102262
Oregon,F,Doctor,560049.65,68665.0,69.0,0.0,Personal Auto,Two-Door Car,331.2
California,M,College,463654.65,26802.0,66.0,1.0,Corporate Auto,Two-Door Car,316.8
California,M,College,1469663.55,45345.0,125.0,0.0,Personal Auto,SUV,600.0
Washington,M,Bachelor,897214.03,89689.0,74.0,0.0,Personal Auto,Four-Door Car,136.829537
California,F,Bachelor,772484.01,32051.0,193.0,1.0,Personal Auto,SUV,926.4
Oregon,M,Master,594667.07,81139.0,74.0,0.0,Special Auto,Four-Door Car,392.6364
Oregon,F,Master,800054.51,63834.0,100.0,1.0,Personal Auto,Luxury,215.226476
Arizona,M,Bachelor,645756.1,37548.0,81.0,0.0,Special Auto,Four-Door Car,160.598662
California,M,High School or Below,259243.78,72421.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
Nevada,M,Master,467842.34,83102.0,116.0,0.0,Corporate Auto,Four-Door Car,443.670399
Oregon,M,College,1386992.71,28432.0,118.0,0.0,Personal Auto,SUV,612.300581
Nevada,F,Master,871777.78,83707.0,108.0,0.0,Corporate Auto,Four-Door Car,290.391526
California,F,College,523398.68,63259.0,65.0,0.0,Corporate Auto,Four-Door Car,316.795337
Oregon,F,College,247246.92,63860.0,62.0,0.0,Personal Auto,Four-Door Car,208.598246
Washington,M,Bachelor,281369.26,43836.0,73.0,0.0,Personal Auto,Four-Door Car,138.130879
California,F,College,550505.7,86132.0,68.0,0.0,Personal Auto,Two-Door Car,301.437365
Oregon,F,Bachelor,260620.85,28519.0,66.0,0.0,Personal Auto,Two-Door Car,456.473115
Arizona,F,High School or Below,1048194.38,39102.0,88.0,0.0,Personal Auto,Four-Door Car,152.338562
California,F,College,3047578.05,97298.0,128.0,0.0,Personal Auto,Luxury,48.517439
Nevada,M,High School or Below,636490.22,41986.0,84.0,2.0,Personal Auto,Two-Door Car,430.375049
Oregon,F,College,563145.19,17291.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
California,M,College,981652.83,37256.0,62.0,0.0,Personal Auto,Four-Door Car,128.969729
Oregon,M,High School or Below,751913.36,96306.0,95.0,1.0,Corporate Auto,Four-Door Car,185.355353
California,F,Bachelor,1017971.7,14290.0,271.0,0.0,Personal Auto,Luxury,1300.8
California,F,College,277283.92,37038.0,71.0,1.0,Corporate Auto,Four-Door Car,9.071305
Oregon,M,College,403750.18,90760.0,103.0,2.0,Special Auto,SUV,133.475315
Washington,M,Master,419196.61,77048.0,103.0,0.0,Personal Auto,SUV,141.199465
Oregon,F,High School or Below,267686.79,54480.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
California,M,College,252395.96,16244.0,68.0,0.0,Personal Auto,Two-Door Car,623.223617
California,F,College,698840.16,22436.0,89.0,0.0,Special Auto,Four-Door Car,427.2
Washington,F,College,874205.78,71592.0,72.0,0.0,Personal Auto,Four-Door Car,141.725051
Arizona,M,Master,267331.96,28728.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Arizona,M,High School or Below,1215732.99,57449.0,103.0,0.0,Personal Auto,Four-Door Car,494.4
California,F,Doctor,295776.4,83318.0,73.0,0.0,Personal Auto,Two-Door Car,211.336937
Washington,M,Bachelor,717390.94,75217.0,61.0,1.0,Personal Auto,Four-Door Car,147.080303
Oregon,M,Bachelor,841568.46,55308.0,107.0,0.0,Corporate Auto,SUV,513.6
Oregon,F,College,2684312.45,36068.0,97.0,0.0,Personal Auto,Two-Door Car,113.367765
Oregon,M,Bachelor,1305717.07,48804.0,112.0,1.0,Corporate Auto,Four-Door Car,537.6
Oregon,M,Bachelor,853510.89,55790.0,111.0,0.0,Personal Auto,SUV,117.672722
Arizona,F,Bachelor,829348.19,70258.0,69.0,0.0,Personal Auto,Four-Door Car,225.145949
Oregon,F,Bachelor,663685.98,47274.0,83.0,1.0,Corporate Auto,Four-Door Car,182.432565
Washington,F,College,560908.25,44705.0,71.0,0.0,Personal Auto,Two-Door Car,148.173152
Washington,F,Master,527562.7,70446.0,65.0,0.0,Personal Auto,Four-Door Car,155.570802
Washington,F,High School or Below,251459.2,43860.0,65.0,0.0,Personal Auto,Four-Door Car,156.124914
Oregon,F,Bachelor,343525.01,64348.0,86.0,0.0,Personal Auto,Two-Door Car,212.391975
Oregon,M,Bachelor,662461.18,0.0,62.0,0.0,Corporate Auto,Two-Door Car,297.6
California,M,Master,575744.23,88997.0,72.0,0.0,Special Auto,Four-Door Car,174.041566
Washington,F,High School or Below,251459.2,43860.0,65.0,0.0,Corporate Auto,Four-Door Car,156.124914
California,F,High School or Below,288645.16,10312.0,78.0,0.0,Corporate Auto,Four-Door Car,486.278557
Arizona,F,High School or Below,416001.81,96263.0,103.0,0.0,Personal Auto,SUV,1.924709
California,F,College,284624.54,28919.0,72.0,0.0,Corporate Auto,Four-Door Car,518.4
Oregon,M,Bachelor,505961.62,41869.0,64.0,0.0,Personal Auto,Two-Door Car,262.12205
California,F,High School or Below,268886.4,32808.0,68.0,1.0,Personal Auto,Four-Door Car,541.695658
California,F,Bachelor,827763.76,79780.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
Oregon,F,College,905793.53,91025.0,112.0,0.0,Personal Auto,SUV,327.682669
California,F,High School or Below,380175.04,33043.0,95.0,0.0,Personal Auto,Two-Door Car,456.0
Arizona,M,High School or Below,933934.16,69442.0,118.0,3.0,Personal Auto,Four-Door Car,1265.570302
Oregon,F,Bachelor,259574.8,47234.0,65.0,0.0,Personal Auto,Four-Door Car,15.631363
Oregon,M,High School or Below,743769.33,86863.0,92.0,0.0,Personal Auto,Four-Door Car,441.6
Oregon,M,Bachelor,1453678.76,25805.0,66.0,2.0,Personal Auto,Four-Door Car,375.866091
Nevada,M,Bachelor,591330.59,43676.0,76.0,0.0,Personal Auto,Four-Door Car,364.8
Arizona,M,College,277166.3,59855.0,74.0,4.0,Personal Auto,Two-Door Car,355.2
Arizona,M,Master,2919436.64,35296.0,126.0,0.0,Personal Auto,SUV,452.616872
Oregon,F,Master,988038.58,36576.0,125.0,1.0,Personal Auto,SUV,113.450122
California,F,High School or Below,1511440.24,28513.0,100.0,1.0,Corporate Auto,SUV,480.0
Oregon,M,Bachelor,575991.08,85448.0,72.0,0.0,Special Auto,Four-Door Car,16.03451
Oregon,F,High School or Below,849516.42,23791.0,110.0,3.0,Personal Auto,Two-Door Car,615.27228
California,F,Bachelor,438118.42,20597.0,112.0,0.0,Personal Auto,Four-Door Car,615.256301
Arizona,F,College,699782.74,56940.0,87.0,0.0,Personal Auto,Four-Door Car,512.66245
Oregon,M,Bachelor,1143058.85,93210.0,71.0,0.0,Personal Auto,Two-Door Car,74.523935
Oregon,F,Bachelor,748248.61,48992.0,94.0,1.0,Personal Auto,Four-Door Car,426.072946
Arizona,F,Master,859691.66,53736.0,71.0,0.0,Personal Auto,Two-Door Car,169.287785
Arizona,M,College,785496.08,25378.0,66.0,1.0,Personal Auto,Four-Door Car,419.464143
Oregon,F,Bachelor,258240.85,76731.0,64.0,0.0,Personal Auto,Four-Door Car,201.455005
Washington,M,Master,907576.82,37722.0,116.0,0.0,Corporate Auto,Luxury,158.077504
California,F,Bachelor,411858.86,69379.0,103.0,0.0,Personal Auto,Two-Door Car,494.4
Oregon,M,High School or Below,1215732.99,57449.0,103.0,0.0,Personal Auto,Four-Door Car,494.4
Arizona,F,Bachelor,2778969.24,33806.0,89.0,0.0,Corporate Auto,Four-Door Car,395.729716
Washington,F,College,266727.0,94041.0,66.0,0.0,Personal Auto,Four-Door Car,159.756733
Oregon,F,College,1092840.71,74965.0,90.0,0.0,Personal Auto,Four-Door Car,58.557552
Arizona,F,High School or Below,761538.13,34095.0,63.0,0.0,Personal Auto,Two-Door Car,302.4
California,M,College,243468.12,96045.0,61.0,0.0,Corporate Auto,Four-Door Car,8.582971
Nevada,F,Bachelor,1419536.03,86355.0,118.0,0.0,Personal Auto,Luxury,285.418473
California,F,High School or Below,942768.49,27824.0,118.0,0.0,Personal Auto,SUV,566.4
California,M,High School or Below,1198242.09,42995.0,101.0,0.0,Personal Auto,SUV,410.508316
Oregon,F,High School or Below,310278.95,21235.0,79.0,0.0,Personal Auto,Two-Door Car,244.23135
California,M,High School or Below,422263.12,74585.0,106.0,0.0,Personal Auto,SUV,218.598065
Oregon,M,Bachelor,402381.44,41833.0,103.0,0.0,Personal Auto,Four-Door Car,643.826716
California,F,College,529715.18,23908.0,70.0,0.0,Personal Auto,Four-Door Car,336.0
Arizona,M,Bachelor,441620.62,61953.0,113.0,0.0,Personal Auto,SUV,497.047297
Nevada,M,Bachelor,486354.46,0.0,137.0,0.0,Personal Auto,SUV,657.6
Arizona,F,Bachelor,2583090.98,73760.0,107.0,1.0,Personal Auto,Luxury,230.245772
Oregon,F,College,297431.49,23333.0,74.0,0.0,Corporate Auto,Four-Door Car,5.622751
Arizona,F,High School or Below,1006460.83,20440.0,128.0,2.0,Corporate Auto,Luxury,614.4
Washington,M,Master,803240.19,27658.0,68.0,0.0,Personal Auto,Four-Door Car,160.07526
California,M,College,548921.41,50943.0,139.0,0.0,Special Auto,SUV,667.2
California,M,Bachelor,261275.67,19003.0,71.0,0.0,Personal Auto,Two-Door Car,34.651305
California,M,College,857346.39,46703.0,108.0,0.0,Personal Auto,Four-Door Car,678.100487
California,M,Bachelor,2412750.4,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
